tconst,ordering,nconst,category,characters,averageRating,numVotes,directors,writers,titleType,originalTitle,isAdult,startYear,runtimeMinutes,genres,decennie_startYear,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,title,region,language,isOriginalTitle,overview
tt0249462,7,nm0254290,actor,George Watson,7.7,144093,nm0197636,nm0355822,movie,Billy Elliot,0.0,2000.0,110.0,"Drama,Music",2000.0,Mike Elliot,1946.0,2014.0,actor,"tt0249462,tt0380389,tt0108735,tt0106979",Dancer,FR,fr,0,County Durham England 1984 the miners strike has started and the police have started coming up from Bethnal Green starting a class war with the lower classes suffering caught in the middle of the conflict is 11-year old Billy Elliot who after leaving his boxing club for the day stubbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs Wilkinson for an upcoming audition in Newcastle-upon Tyne the audition is for the royal Ballet school in London.
tt0407304,6,nm0327779,actor,Vincent,6.5,477560,nm0000229,"nm0295264,nm0462895,nm0920229",movie,War of the Worlds,0.0,2005.0,116.0,"Action,Adventure,Sci-Fi",2000.0,Rick Gonzalez,,,actor,"tt0302886,tt0393162,tt10478054,tt12677870",La Guerre des mondes,FR,fr,0,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down."
tt0299977,7,nm0515057,actor,Scholar,7.9,188086,nm0955443,"nm1104077,nm0955443,nm0910841",movie,Ying xiong,0.0,2002.0,120.0,"Action,Adventure,Drama",2000.0,Zhongyuan Liu,,,actor,"tt0299977,tt0344062,tt0452420,tt0101440",Hero,FR,fr,0,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.
tt0381681,7,nm1578895,actor,Philippe,8.1,289860,nm0000500,"nm0000500,nm0000365,nm0000160,nm0471811",movie,Before Sunset,0.0,2004.0,80.0,"Drama,Romance",2000.0,Diabolo,,,actor,"tt0381681,tt0295736,tt0217955",Before Sunset,FR,fr,0,"Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more."
tt0374102,1,nm0752436,actress,Susan Watkins,5.8,56724,nm0448900,nm0448900,movie,Open Water,0.0,2003.0,79.0,"Adventure,Drama,Horror",2000.0,Blanchard Ryan,,,actress,"tt0374102,tt0486551,tt2372162,tt1595859",Open water - En eaux profondes,FR,fr,0,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them..."
tt0430051,10,nm0460578,actor,Sollers,6.6,8314,nm0753912,"nm0753912,nm0396391",movie,Elementarteilchen,0.0,2006.0,113.0,"Drama,Romance",2000.0,Herbert Knaup,1956.0,,actor,"tt0130827,tt0111183,tt2186566,tt0405094",Les Particules élémentaires,FR,fr,0,"Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again."
tt0315543,10,nm1244053,actor,Emil,7.5,10984,nm0081540,"nm0081540,nm0421314",movie,Elsker dig for evigt,0.0,2002.0,113.0,"Drama,Romance",2000.0,Pelle Bang Sørensen,1995.0,,actor,"tt0336029,tt0366804,tt0315543,tt0338607",Open Hearts,FR,fr,0,"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her."
tt0208092,9,nm0118473,actor,Gary,8.2,915216,nm0005363,nm0005363,movie,Snatch,0.0,2000.0,102.0,"Comedy,Crime",2000.0,Jason Buckham,,,actor,"tt0208092,tt0120825,tt0451195",Snatch : Tu braques ou tu raques,FR,fr,0,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
tt0243862,3,nm0836742,actress,Olympia,7.0,13926,nm0771054,"nm0082759,nm0771054",movie,Italiensk for begyndere,0.0,2000.0,112.0,"Comedy,Drama,Romance",2000.0,Anette Støvelbæk,1967.0,,actress,"tt0243862,tt1514717,tt1340107,tt1802183",Italian for Beginners,FR,fr,0,"A group of strangers find friendship, family and love within an Italian beginners’ course."
tt0374546,10,nm9328837,actress,The Baby's Mother,8.0,87124,nm1104118,nm1104118,movie,Bom yeoreum gaeul gyeoul geurigo bom,0.0,2003.0,103.0,"Drama,Romance",2000.0,Park Ji-ah,1972.0,,actress,"tt0423866,tt0374546,tt6927152,tt8119752","Printemps, été, automne, hiver... et printemps",FR,fr,0,"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by."
tt0416320,15,nm0928836,producer,unknown,7.6,228891,nm0000095,nm0000095,movie,Match Point,0.0,2005.0,124.0,"Drama,Romance,Thriller",2000.0,Gareth Wiley,1962.0,,producer,"tt0416320,tt0795493,tt0497465,tt0457513",Match Point,FR,fr,0,"Chris, a former tennis player, looks for work as an instructor. He meets Tom Hewett, a wealthy young man whose sister Chloe fall in love with Chris. But Chris has his eye on Tom's fiancee Nola."
tt0120737,6,nm0032370,actor,Everard Proudfoot,8.9,2019916,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392",movie,The Lord of the Rings: The Fellowship of the Ring,0.0,2001.0,178.0,"Action,Adventure,Drama",2000.0,Noel Appleby,1933.0,2007.0,actor,"tt0120737,tt0167260,tt0095709,tt0100852",Le Seigneur des anneaux : La Communauté de l'anneau,FR,fr,0,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
tt0167261,5,nm0021600,actor,Aldor,8.8,1795291,nm0001392,"nm0866058,nm0909638,nm0101991,nm0801728,nm0001392",movie,The Lord of the Rings: The Two Towers,0.0,2002.0,179.0,"Action,Adventure,Drama",2000.0,Bruce Allpress,1930.0,2020.0,actor,"tt0167261,tt0760329,tt0084636,tt0107822",Le Seigneur des anneaux : Les Deux Tours,FR,fr,0,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."
tt0167260,5,nm0032370,actor,Everard Proudfoot,9.0,1991469,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392",movie,The Lord of the Rings: The Return of the King,0.0,2003.0,201.0,"Action,Adventure,Drama",2000.0,Noel Appleby,1933.0,2007.0,actor,"tt0120737,tt0167260,tt0095709,tt0100852",Le Seigneur des anneaux : Le Retour du roi,FR,fr,0,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm."
tt0245429,12,nm0619822,actor,Akio Ogino,8.6,857024,nm0594503,nm0594503,movie,Sen to Chihiro no kamikakushi,0.0,2001.0,125.0,"Adventure,Animation,Family",2000.0,Takashi Naitô,1955.0,,actor,"tt0245429,tt0495596,tt1798188,tt0085933",Le Voyage de Chihiro,FR,fr,0,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
tt0190590,10,nm0395020,actor,Pappy's Staff,7.7,332506,"nm0001054,nm0001053","nm0392955,nm0001053,nm0001054",movie,"O Brother, Where Art Thou?",0.0,2000.0,107.0,"Comedy,Crime,Drama",2000.0,J.R. Horne,1944.0,2016.0,actor,"tt0887883,tt0190590,tt0112864,tt1396218",O' Brother,FR,fr,0,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'."
tt0275491,12,nm1549243,actor,Enrique,7.4,63605,nm0000264,nm0000264,movie,La mala educación,0.0,2004.0,106.0,"Crime,Drama",2000.0,Raúl García Forneiro,,,actor,"tt0275491,tt0381733,tt0499636,tt1303853",La mauvaise éducation,FR,fr,0,"Two children, Ignacio and Enrique, know love, the movies and fear in a religious school at the beginning of the 1960s. Father Manolo, director of the school and its professor of literature, is witness to and part of these discoveries. The three are followed through the next few decades, their reunion marking life and death."
tt0246578,4,nm0651660,actor,Eddie Darko,8.0,854518,nm0446819,nm0446819,movie,Donnie Darko,0.0,2001.0,113.0,"Drama,Mystery,Sci-Fi",2000.0,Holmes Osborne,1947.0,,actor,"tt0246578,tt0405336,tt0117887,tt0309698",Donnie Darko,FR,fr,0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes."
tt0388795,5,nm0686502,actress,Waitress,7.7,385495,nm0000487,"nm0698925,nm0573505,nm0652223",movie,Brokeback Mountain,0.0,2005.0,134.0,"Drama,Romance",2000.0,Valerie Planche,,,actress,"tt4568466,tt4882548,tt5034212",Le secret de Brokeback Mountain,FR,fr,0,"Rodeo cowboy Jack and ranch hand Ennis are hired as sheepherders in 1963 Wyoming. One night on Brokeback Mountain, they spark a physical relationship. Though Ennis marries his longtime sweetheart and Jack marries a fellow rodeo rider, they keep up their tortured, sporadic love affair for 20 years."
tt0190332,14,nm0874631,writer,unknown,7.9,282527,nm0000487,"nm0910924,nm0770005,nm0874631,nm0238893",movie,Wo hu cang long,0.0,2000.0,120.0,"Action,Adventure,Drama",2000.0,Kuo Jung Tsai,,,writer,"tt0190332,tt0100472,tt7290708,tt10370952",Tigre et Dragon,FR,fr,0,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life."
tt0430576,3,nm0030153,actor,Dimitri,7.4,13184,nm0170043,nm0170043,movie,The Secret Life of Words,0.0,2005.0,115.0,"Drama,Romance",2000.0,Sverre Anker Ousdal,1944.0,,actor,"tt0205619,tt0093543,tt0119375,tt0430576",The Secret Life of Words,FR,fr,0,A touching story of a deaf girl who is sent to an oil rig to take care of a man who has been blinded in a terrible accident. The girl has a special ability to communicate with the men on board and especially with her patient as they share intimate moments together that will change their lives forever.
tt0335266,5,nm1440108,actress,Ms. Kawasaki,7.7,493051,nm0001068,nm0001068,movie,Lost in Translation,0.0,2003.0,102.0,"Comedy,Drama",2000.0,Akiko Takeshita,1959.0,,actress,"tt0335266,tt0808357,tt1278165,tt1645133",Lost in Translation,FR,fr,0,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America."
tt0329767,7,nm0896510,actress,Sophie,6.8,8086,nm0771054,"nm0771054,nm0421314",movie,Wilbur Wants to Kill Himself,0.0,2002.0,109.0,"Comedy,Drama,Romance",2000.0,Susan Vidler,1972.0,,actress,"tt0117951,tt0107653,tt0436992,tt0249238",Wilbur,FR,fr,0,"The strange comedy film of two close brothers; one, Wilbur, who wants to kill himself, and the other, Harbour, who tries to prevent this. When their father dies leaving them his bookstore they meet a woman who makes their lives a bit better yet with a bit more trouble as well."
tt0240772,14,nm0113689,writer,unknown,7.7,623001,nm0001752,"nm0425138,nm0751207,nm0113689,nm0496468,nm0341372",movie,Ocean's Eleven,0.0,2001.0,116.0,"Crime,Thriller",2000.0,Harry Brown,1917.0,1986.0,writer,"tt0043924,tt0041841,tt0054135,tt0240772",Ocean's eleven - Faites vos jeux!,FR,fr,0,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess."
tt0240772,14,nm0113689,writer,unknown,7.7,623001,nm0001752,"nm0425138,nm0751207,nm0113689,nm0496468,nm0341372",movie,Ocean's Eleven,0.0,2001.0,116.0,"Crime,Thriller",2000.0,Harry Brown,1917.0,1986.0,writer,"tt0043924,tt0041841,tt0054135,tt0240772",Ocean's Eleven,FR,fr,0,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess."
tt0349903,14,nm0751207,writer,unknown,6.5,415955,nm0001752,"nm1079776,nm0425138,nm0751207",movie,Ocean's Twelve,0.0,2004.0,125.0,"Crime,Thriller",2000.0,Jack Golden Russell,,,writer,"tt0240772,tt5164214,tt0496806,tt0349903",Ocean's Twelve,FR,fr,0,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels."
tt0289043,10,nm0242830,actor,Jim's Father,7.5,449571,nm0000965,nm0307497,movie,28 Days Later...,0.0,2002.0,113.0,"Drama,Horror,Sci-Fi",2000.0,Christopher Dunne,,,actor,"tt4664244,tt5137338,tt0405052,tt0289043",28 Jours plus tard,FR,fr,0,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
tt0181689,9,nm0168044,actor,Pre-Crime Cop,7.6,587033,nm0000229,"nm0291082,nm0169509,nm0001140",movie,Minority Report,0.0,2002.0,145.0,"Action,Crime,Mystery",2000.0,Richard Coca,,,actor,"tt0236493,tt0181689,tt0117979,tt0116905",Minority Report,FR,fr,0,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge."
tt0452624,13,nm1874260,writer,unknown,6.0,26125,nm0001752,"nm0001921,nm1874260",movie,The Good German,0.0,2006.0,105.0,"Drama,Mystery,Romance",2000.0,Joseph Kanon,,,writer,tt0452624,The Good German,FR,fr,0,An American journalist arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover.
tt0425210,13,nm0248178,producer,unknown,7.7,326576,nm0006476,nm1429512,movie,Lucky Number Slevin,0.0,2006.0,110.0,"Crime,Drama,Thriller",2000.0,Christopher Eberts,,,producer,"tt0330793,tt0346631,tt0425210,tt0800240",Slevin,FR,fr,0,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma."
tt0401792,8,nm1617514,actress,Hearing Panel Person,8.0,795608,"nm0588340,nm0000233,nm0001675","nm0588340,nm0001675",movie,Sin City,0.0,2005.0,124.0,"Crime,Thriller",2000.0,Cara D. Briggs,,,actress,"tt0401792,tt0120519,tt0245565,tt1450744",Sin City - La ville du vice et du péché,FR,fr,0,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care."
tt0248103,2,nm0041662,actress,Clara,6.9,2770,nm0678857,"nm0267943,nm0678857",movie,Die innere Sicherheit,0.0,2000.0,106.0,Drama,2000.0,Barbara Auer,1959.0,,actress,"tt0938493,tt0816442,tt2290247,tt0104846",Contrôle d'identité,FR,fr,0,"With 1970s Germany in the background, this film depicts the story of a family from the “R.A.F. Terrorist” group and their search for a normal life and their inner self."
